Fecha;Reservorio;Agua Caída (mm)
11-09-2025;Canutillar;0.00
12-09-2025;Canutillar;12.50
13-09-2025;Canutillar;28.00
14-09-2025;Canutillar;0.00
15-09-2025;Canutillar;0.50
16-09-2025;Canutillar;31.50
17-09-2025;Canutillar;0.50
18-09-2025;Canutillar;42.00
19-09-2025;Canutillar;3.00
20-09-2025;Canutillar;26.50
21-09-2025;Canutillar;5.50
22-09-2025;Canutillar;0.50
23-09-2025;Canutillar;0.00
24-09-2025;Canutillar;0.00
25-09-2025;Canutillar;13.00
26-09-2025;Canutillar;16.50
27-09-2025;Canutillar;2.50
28-09-2025;Canutillar;24.00
29-09-2025;Canutillar;24.50
30-09-2025;Canutillar;1.50
01-10-2025;Canutillar;0.00
02-10-2025;Canutillar;0.00
03-10-2025;Canutillar;50.00
04-10-2025;Canutillar;20.00
05-10-2025;Canutillar;5.00
06-10-2025;Canutillar;41.00
07-10-2025;Canutillar;4.50
08-10-2025;Canutillar;0.00
09-10-2025;Canutillar;58.00
10-10-2025;Canutillar;24.00
11-10-2025;Canutillar;1.00
12-10-2025;Canutillar;1.00
13-10-2025;Canutillar;5.50
14-10-2025;Canutillar;75.00
15-10-2025;Canutillar;22.00
16-10-2025;Canutillar;2.00
17-10-2025;Canutillar;0.00
18-10-2025;Canutillar;0.00
19-10-2025;Canutillar;0.00
20-10-2025;Canutillar;25.00
21-10-2025;Canutillar;0.00
22-10-2025;Canutillar;0.00
23-10-2025;Canutillar;19.00
24-10-2025;Canutillar;9.00
25-10-2025;Canutillar;29.00
26-10-2025;Canutillar;4.00
27-10-2025;Canutillar;0.00
28-10-2025;Canutillar;0.00
29-10-2025;Canutillar;0.00
30-10-2025;Canutillar;4.00
31-10-2025;Canutillar;4.00
01-11-2025;Canutillar;0.00
02-11-2025;Canutillar;0.00
03-11-2025;Canutillar;0.00
04-11-2025;Canutillar;0.00
05-11-2025;Canutillar;0.00
06-11-2025;Canutillar;0.00
07-11-2025;Canutillar;0.00
08-11-2025;Canutillar;0.00
09-11-2025;Canutillar;3.50
10-11-2025;Canutillar;0.50
11-11-2025;Canutillar;11.50
12-11-2025;Canutillar;0.00
13-11-2025;Canutillar;0.00
14-11-2025;Canutillar;0.00
15-11-2025;Canutillar;1.00
16-11-2025;Canutillar;0.00
17-11-2025;Canutillar;13.00
18-11-2025;Canutillar;0.00
19-11-2025;Canutillar;9.00
20-11-2025;Canutillar;11.00
21-11-2025;Canutillar;0.00
22-11-2025;Canutillar;0.00
23-11-2025;Canutillar;0.00
24-11-2025;Canutillar;0.00
25-11-2025;Canutillar;0.00
26-11-2025;Canutillar;0.00
27-11-2025;Canutillar;0.00
28-11-2025;Canutillar;0.00
29-11-2025;Canutillar;13.50
30-11-2025;Canutillar;6.00
01-12-2025;Canutillar;0.00
02-12-2025;Canutillar;18.50
03-12-2025;Canutillar;0.00
04-12-2025;Canutillar;1.00
05-12-2025;Canutillar;0.00
06-12-2025;Canutillar;0.00
07-12-2025;Canutillar;0.00
08-12-2025;Canutillar;0.00
09-12-2025;Canutillar;0.00
10-12-2025;Canutillar;0.00
11-12-2025;Canutillar;2.50
12-12-2025;Canutillar;19.50
13-12-2025;Canutillar;0.00
14-12-2025;Canutillar;20.00
15-12-2025;Canutillar;20.50
16-12-2025;Canutillar;0.00
17-12-2025;Canutillar;4.00
18-12-2025;Canutillar;0.00
19-12-2025;Canutillar;1.50
20-12-2025;Canutillar;40.50
21-12-2025;Canutillar;3.50
22-12-2025;Canutillar;15.00
23-12-2025;Canutillar;0.50
24-12-2025;Canutillar;2.50
25-12-2025;Canutillar;0.00
26-12-2025;Canutillar;12.00
27-12-2025;Canutillar;0.50
28-12-2025;Canutillar;0.00
29-12-2025;Canutillar;0.00
30-12-2025;Canutillar;1.50
31-12-2025;Canutillar;0.00
01-01-2026;Canutillar;0.00
02-01-2026;Canutillar;0.00
03-01-2026;Canutillar;0.00
04-01-2026;Canutillar;0.00
05-01-2026;Canutillar;0.00
06-01-2026;Canutillar;0.00
07-01-2026;Canutillar;0.00
08-01-2026;Canutillar;0.00
09-01-2026;Canutillar;0.00
10-01-2026;Canutillar;0.00
11-01-2026;Canutillar;13.50
12-01-2026;Canutillar;0.50
13-01-2026;Canutillar;0.00
